,committer,numberCommits,fixedSZZIssues,fixedSonarIssues,fixedJiraIssues,inducedSZZIssues,inducedSonarIssues,timeInProject,resolutionTime,jiraBug,jiraDependencyUpgrade,jiraDocumentation,jiraEpic,jiraImprovement,jiraNewFeature,jiraQuestion,jiraStory,jiraSub-task,jiraTask,jiraTechnicalTask,jiraTest,jiraWish,jiraBlocker,jiraCritical,jiraMajor,jiraMinor,jiraTrivial,commitChangeAdd,commitChangeDelete,commitChangeModify,commitChangeRename,commitChangeUnknown,linesAdded,linesRemoved,refactoringInducedBug,refactoringChangePackage,refactoringExtractAndMoveMethod,refactoringExtractClass,refactoringExtractInterface,refactoringExtractMethod,refactoringExtractSubclass,refactoringExtractSuperclass,refactoringExtractVariable,refactoringInlineMethod,refactoringInlineVariable,refactoringMoveAndRenameAttribute,refactoringMoveAndRenameClass,refactoringMoveAttribute,refactoringMoveClass,refactoringMoveMethod,refactoringMoveSourceFolder,refactoringParameterizeVariable,refactoringPullUpAttribute,refactoringPullUpMethod,refactoringPushDownAttribute,refactoringPushDownMethod,refactoringRenameAttribute,refactoringRenameClass,refactoringRenameMethod,refactoringRenamePackage,refactoringRenameParameter,refactoringRenameVariable,refactoringReplaceAttribute,refactoringReplaceVariableWithAttribute,Unnamed: 0.1,Unnamed: 0.1.1,codeFunctions,codeCommentLinesDensity,codeComplexity,codeFunctionComplexity,codeDuplicatedLinesDensity,codeViolations,codeBlockerViolations,codeCriticalViolations,codeInfoViolations,codeMajorViolations,codeMinorViolations,codeCodeSmells,codeBugs,codeVulnerabilities,codeCognitiveComplexity,codeNcloc,codeSqaleIndex,codeSqaleDebtRatio,codeReliabilityRemediationEffort,codeSecurityRemediationEffort,sonarDebt,sonarCloseTime,sonarBug,sonarCodeSmell,sonarVulnerability,sonarBlocker,sonarCritical,sonarInfo,sonarMajor
0,-l,27.0,0.0,0.0,0.0,0.0,2.0,4235880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.1111111111111112,4.0,0.4074074074074074,0.0,13.634956890704016,14.14174373944489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,22617.766388888893,0.0,2.0,0.0,0.0,0.0,0.0,2.0
1,1028332163,14.0,0.0,0.0,0.0,0.0,0.0,77939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.307692307692307,0.0,0.0,6.843589743589744,4.105769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A. J. David Bosschaert,432.0,51.0,0.0,0.0,1.0,0.0,173937105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953488372093023,0.11162790697674417,2.527906976744186,0.3930232558139535,0.0,20.00148286812519,6.916946591289176,0.0,0.0,1.0,0.0,1.0,13.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,9.0,7.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,12.0,19.0,3.0,0.0,0.0,0.0,0.0,7788583.0,7788583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,A195882,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,58.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.933333333333333,809.9772376543208,0.0,18.0,0.0,0.0,0.0,7.0,8.0
4,A744013,5.0,0.0,4.0,0.0,0.0,3.0,351970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.5,1.0,0.0,6.45,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,69577.0,69577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.13333333333333,821.3885629084967,14.0,78.0,3.0,0.0,25.0,0.0,24.0
5,Aaron Dossett,22.0,0.0,6.0,0.0,0.0,2.0,2086281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.619047619047619,0.0,0.0,3.2055555555555557,1.9960317460317465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35118.0,35118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8333333333333326,640.3825449346407,0.0,19.0,0.0,0.0,0.0,0.0,19.0
6,Aaron Niskode-Dossett,8.0,0.0,3.0,0.0,0.0,0.0,1756305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Abbass MAROUNI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,54.66666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Abraham Fine,8.0,3.0,2.0,0.0,0.0,3.0,2732976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,3.375,0.0,0.0,19.87335526315789,5.445723684210527,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,561467.0,561467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.699999999999998,11866.606574074074,0.0,19.0,0.0,0.0,2.0,0.0,10.0
9,Adam Fuchs,60.0,16.0,27.0,0.0,0.0,30.0,124052833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,1.5,0.0,0.0,22.819834183673468,4.536968537414966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1401.0,0.032692307692307784,1855.0,-0.6000000000000004,-0.07115384615384625,2497.0,-23.0,38.0,586.0,1790.0,106.0,1780.0,733.0,-16.0,-1259.0,15267.0,13920.0,-0.20000000000000012,1137.0,-395.0,1528.2499999999975,7078.212989827921,296.0,7332.0,198.0,12.0,337.0,313.0,3462.0
